threshold,accuracy,recall,precision,f1,roc_auc,pr_auc,tn_fp_fn_tp
0.5,0.8035335689045936,0.2814159292035398,0.5145631067961165,0.36384439359267734,0.7047764168082986,0.41724191489797086,"[2115, 150, 406, 159]"
0.51,0.8045936395759717,0.2761061946902655,0.52,0.3606936416184971,0.7047764168082986,0.41724191489797086,"[2121, 144, 409, 156]"
0.52,0.8035335689045936,0.26017699115044246,0.5157894736842106,0.3458823529411765,0.7047764168082986,0.41724191489797086,"[2127, 138, 418, 147]"
0.53,0.8042402826855124,0.25309734513274335,0.52,0.3404761904761905,0.7047764168082986,0.41724191489797086,"[2133, 132, 422, 143]"
0.54,0.8042402826855124,0.24424778761061947,0.5207547169811321,0.3325301204819277,0.7047764168082986,0.41724191489797086,"[2138, 127, 427, 138]"
0.55,0.8060070671378092,0.23893805309734514,0.531496062992126,0.32967032967032966,0.7047764168082986,0.41724191489797086,"[2146, 119, 430, 135]"
0.56,0.8088339222614841,0.23539823008849559,0.5495867768595041,0.32961586121437425,0.7047764168082986,0.41724191489797086,"[2156, 109, 432, 133]"
0.57,0.8074204946996466,0.22300884955752212,0.5431034482758621,0.3161856963613551,0.7047764168082986,0.41724191489797086,"[2159, 106, 439, 126]"
0.58,0.8067137809187279,0.20707964601769913,0.5416666666666666,0.29961587708066584,0.7047764168082986,0.41724191489797086,"[2166, 99, 448, 117]"
0.59,0.8053003533568904,0.1911504424778761,0.5346534653465347,0.2816166883963494,0.7047764168082986,0.41724191489797086,"[2171, 94, 457, 108]"
0.6,0.8067137809187279,0.18761061946902655,0.5463917525773195,0.27931488801054016,0.7047764168082986,0.41724191489797086,"[2177, 88, 459, 106]"
0.61,0.8074204946996466,0.17876106194690267,0.554945054945055,0.27041499330655955,0.7047764168082986,0.41724191489797086,"[2184, 81, 464, 101]"
0.62,0.8077738515901061,0.16991150442477876,0.5614035087719298,0.2608695652173913,0.7047764168082986,0.41724191489797086,"[2190, 75, 469, 96]"
0.63,0.8070671378091873,0.15398230088495576,0.5612903225806452,0.24166666666666667,0.7047764168082986,0.41724191489797086,"[2197, 68, 478, 87]"
0.64,0.8077738515901061,0.14690265486725665,0.5724137931034483,0.23380281690140844,0.7047764168082986,0.41724191489797086,"[2203, 62, 482, 83]"
0.65,0.8081272084805654,0.13805309734513274,0.582089552238806,0.22317596566523606,0.7047764168082986,0.41724191489797086,"[2209, 56, 487, 78]"
0.66,0.8091872791519434,0.13451327433628318,0.5984251968503937,0.21965317919075145,0.7047764168082986,0.41724191489797086,"[2214, 51, 489, 76]"
0.67,0.8077738515901061,0.11858407079646018,0.5929203539823009,0.1976401179941003,0.7047764168082986,0.41724191489797086,"[2219, 46, 498, 67]"
0.68,0.8081272084805654,0.1168141592920354,0.6,0.19555555555555557,0.7047764168082986,0.41724191489797086,"[2221, 44, 499, 66]"
0.69,0.8084805653710248,0.11504424778761062,0.6074766355140186,0.19345238095238096,0.7047764168082986,0.41724191489797086,"[2223, 42, 500, 65]"
0.7,0.8084805653710248,0.10619469026548672,0.6185567010309279,0.18126888217522658,0.7047764168082986,0.41724191489797086,"[2228, 37, 505, 60]"
0.71,0.8084805653710248,0.10442477876106195,0.6210526315789474,0.1787878787878788,0.7047764168082986,0.41724191489797086,"[2229, 36, 506, 59]"
0.72,0.8084805653710248,0.09911504424778761,0.6292134831460674,0.1712538226299694,0.7047764168082986,0.41724191489797086,"[2232, 33, 509, 56]"
0.73,0.8081272084805654,0.09026548672566372,0.6375,0.15813953488372093,0.7047764168082986,0.41724191489797086,"[2236, 29, 514, 51]"
0.74,0.8084805653710248,0.08672566371681416,0.6533333333333333,0.153125,0.7047764168082986,0.41724191489797086,"[2239, 26, 516, 49]"
0.75,0.8081272084805654,0.07964601769911504,0.6617647058823529,0.14218009478672985,0.7047764168082986,0.41724191489797086,"[2242, 23, 520, 45]"
0.76,0.8074204946996466,0.07256637168141593,0.6612903225806451,0.13078149920255183,0.7047764168082986,0.41724191489797086,"[2244, 21, 524, 41]"
0.77,0.8077738515901061,0.06725663716814159,0.6909090909090909,0.12258064516129032,0.7047764168082986,0.41724191489797086,"[2248, 17, 527, 38]"
0.78,0.8070671378091873,0.061946902654867256,0.6862745098039216,0.11363636363636363,0.7047764168082986,0.41724191489797086,"[2249, 16, 530, 35]"
0.79,0.8056537102473498,0.05309734513274336,0.6666666666666666,0.09836065573770492,0.7047764168082986,0.41724191489797086,"[2250, 15, 535, 30]"
0.8,0.8053003533568904,0.049557522123893805,0.6666666666666666,0.09225700164744646,0.7047764168082986,0.41724191489797086,"[2251, 14, 537, 28]"
0.81,0.8056537102473498,0.047787610619469026,0.6923076923076923,0.08940397350993377,0.7047764168082986,0.41724191489797086,"[2253, 12, 538, 27]"
0.82,0.8056537102473498,0.04247787610619469,0.7272727272727273,0.0802675585284281,0.7047764168082986,0.41724191489797086,"[2256, 9, 541, 24]"
0.83,0.8053003533568904,0.04070796460176991,0.71875,0.07705192629815745,0.7047764168082986,0.41724191489797086,"[2256, 9, 542, 23]"
0.84,0.8045936395759717,0.035398230088495575,0.7142857142857143,0.06745362563237774,0.7047764168082986,0.41724191489797086,"[2257, 8, 545, 20]"
0.85,0.8045936395759717,0.03185840707964602,0.75,0.06112054329371817,0.7047764168082986,0.41724191489797086,"[2259, 6, 547, 18]"
0.86,0.8042402826855124,0.02831858407079646,0.7619047619047619,0.05460750853242321,0.7047764168082986,0.41724191489797086,"[2260, 5, 549, 16]"
0.87,0.8045936395759717,0.02654867256637168,0.8333333333333334,0.051457975986277875,0.7047764168082986,0.41724191489797086,"[2262, 3, 550, 15]"
0.88,0.8042402826855124,0.021238938053097345,0.9230769230769231,0.04152249134948097,0.7047764168082986,0.41724191489797086,"[2264, 1, 553, 12]"
0.89,0.803886925795053,0.019469026548672566,0.9166666666666666,0.038128249566724434,0.7047764168082986,0.41724191489797086,"[2264, 1, 554, 11]"
0.9,0.8031802120141343,0.01592920353982301,0.9,0.03130434782608696,0.7047764168082986,0.41724191489797086,"[2264, 1, 556, 9]"
